name,address,city,state,zip,phone,type,schedule,eligibility,notes,monday,tuesday,wednesday,thursday,friday,saturday,sunday,monday_frequency,tuesday_frequency,wednesday_frequency,thursday_frequency,friday_frequency,saturday_frequency,sunday_frequency,monday_hours,tuesday_hours,wednesday_hours,thursday_hours,friday_hours,saturday_hours,sunday_hours
NHA Head Start School Pantry,"San Diego, CA 92105",,CA,92105,,Walk-up,3rd Wednesday of the month from 12:45 - 1:30 p.m.,,,false,false,true,false,false,false,false,,,3rd,,,,,,,12:45 PM - 1:30 PM,,,,
Millennial Tech Middle School Pantry,"San Diego, CA 92102",,CA,92102,619-362-4650,"Walk-up, Drive-through",2nd and 4th Thursday of the month from 2:45 - 3:30 p.m.,,,false,false,false,true,false,false,false,,,,"2nd, 4th",,,,,,,2:45 PM - 3:30 PM,,,
Friendships for Hope,"National City, CA 91950",,CA,91950,619-395-5088,Walk-up,weekly,"Serves residents residing in 91950, 92139, 92102, 92113, 92114",,false,true,false,false,false,false,false,,weekly,,,,,,,9:00 AM - 12:00 PM,,,,,
San Diego Fil-Am SDA Church,"Chula Vista, CA 91910",,CA,91910,858-603-4737,Walk-up,1st Thursday of the month from 10:00 a.m. - 12:00 p.m. (open to the public) 2nd Thursday of the month from 10:00 a.m. - 12:00 p.m. (for unsheltered neighbors only),,,false,false,false,true,false,false,false,,,,1st,,,,,,,10:00 AM - 12:00 PM,,,
UCSD RE-LINK,,,,,858-412-7012,Walk-up,3rd Wednesday of the month from 12:00 - 2:00 p.m.,"Call first 12 North Euclid Ave National City, CA 91950, US",,false,false,true,false,false,false,false,,,3rd,,,,,,,12:00 PM - 2:00 PM,,,,
Lincoln High School Pantry,"San Diego, CA 92113",,CA,92113,619-266-6517,Walk-up,2nd and 4th Friday of the month from 2:50 - 4:30 p.m.,,,false,false,false,false,true,false,false,,,,,"2md, 4th",,,,,,,2:50 PM - 4300 PM,,
Porter Elementary School Pantry,"San Diego, CA 92113",,CA,92113,619-794-9558,Drive-through,1st and 3rd Wednesday of the month at 7:30 a.m.,,,false,false,true,false,false,false,false,,,"1st, 3rd",,,,,,,7:30,,,,
Rock Church - Chula Vista,"Chula Vista, CA 91915",,CA,91915,619-226-7625,Drive-through,4th Thursday of the month from 10:00 a.m. - 12:00 p.m.,,,false,false,false,true,false,false,false,,,,4th,,,,,,,11:15 AM - 12:15 PM,,,
Hamilton Elementary School Pantry,"San Diego, CA 92105",,CA,92105,,Walk-up,1st and 3rd Wednesday of the month from 11:15 a.m. - 12:15 p.m.,,,false,false,true,false,false,false,false,,,"1st, 3rd",,,,,,,11:15 AM - 12:15 PM,,,,
City of Hope,"San Diego, CA 92102",,CA,92102,619-633-7977,Walk-up,1st Wednesday of the month from 10:00 a.m. - 3:00 p.m.,,,false,false,true,false,false,false,false,,,1st,,,,,,,10:00 AM - 3:00 PM,,,,
Hoover High School Pantry,"San Diego, San Diego, CA 92115",,CA,92115,619-431-0320,Walk-up,1st and 3rd Tuesday of the month from 2:15 - 3:15 p.m.,,,false,true,false,false,false,false,false,,"1st, 3rd",,,,,,,2:15 PM - 3:15 PM,,,,,
Bridge of Hope,"San Diego, CA 92105",,CA,92105,,Walk-up,weekly,,,false,false,false,false,true,false,false,,,,,weekly,,,,,,,11:30 AM - 1:00 PM,,
Jamul Community Church,"Jamul, CA 91935",,CA,91935,619-669-7203,Walk-up,weekly,,,false,false,false,true,false,false,false,,,,weekly,,,,,,,10:00 AM - 3:30 PM,,,
La Maestra,"San Diego, CA 92105",,CA,92105,619-280-4213,Walk-up,weekly,,,false,true,true,false,true,false,false,,weekly,weekly,,weekly,,,,9:00 AM - 2:00 PM,9:00 AM - 2:00 PM,,10:00 AM - 3:00 PM,,
St. Marks Episcopal Church,"San Diego, CA 92105",,CA,92105,619-283-6242,Walk-up,weekly,,,false,false,true,false,false,false,false,,,weekly,,,,,,,11:00 AM - 1:00 PM,,,,
City Heights Mobile Pantry,"San Diego, CA 92105",,CA,92105,619-280-9622,"Walk-up, Drive-through",3rd Tuesday of the month from 3:00 p.m. until supplies run out,,,false,true,false,false,false,false,false,,3rd,,,,,,,3:00 PM,,,,,
Iglesia Casa de Alabanza,"San Diego, CA 92105",,CA,92105,,Walk-up,1st and 3rd Tuesday of the month from 11:30 a.m. - 12:30 p.m.,,,false,true,false,false,false,false,false,,"1st, 3rd",,,,,,,11:30 AM - 12:30 PM,,,,,
Church of the Nazarene,"San Diego, CA 92105",,CA,92105,619-516-1000,Walk-up,weekly,,,false,true,false,false,false,true,false,,weekly,,,,weekly,,,3:00 PM - 4:00 PM,,,,9:00 AM - 10:00 AM,
Rock Church - City Heights,"San Diego, CA 92105",,CA,92105,619-226-7625,"Walk-up, Drive-through",3rd Thursday of the month at 10:00 a.m.,,,false,false,false,true,false,false,false,,,,3rd,,,,,,,10:00,,,
City Heights Assembly of God,"San Diego, CA 92105",,CA,92105,619-471-4809,Walk-up,weekly,Families with children under 18 or seniors over age of 65. Hot meals available,,true,true,true,true,true,false,false,weekly,weekly,weekly,weekly,weekly,,,1:00 PM - 3:00 PM,1:00 PM - 3:00 PM,1:00 PM - 3:00 PM,1:00 PM - 3:00 PM,1:00 PM - 3:00 PM,,
"Good Shepherd Community Projects, Inc","San Diego, CA 92113",,CA,92113,619-263-5556,Walk-up,2nd and 4th Saturday of the month from 11:00 a.m. - 1:00 p.m.,Must be 21+ years of age or older or accompanied by an adult to receive food,,false,false,false,false,false,true,false,,,,,,"2nd, 4th",,,,,,,11:00 AM - 1:00 PM,
Faith Tabernacle,"San Diego, CA 92116",,CA,92116,619-282-3044,Walk-up,weekly,,,true,false,false,false,false,false,false,weekly,,,,,,,3:30 PM - 6:00 PM,,,,,,
Santee Food Bank,"Santee, CA 92071",,CA,92071,619-448-2096,Drive-through,weekly,"Santee Residents ONLY [utilities bill] Proof of income eligibility [Social Security Documentation, Pay Stub] ID",,false,false,true,false,true,true,false,,,weekly,,weekly,weekly,,,,8:00 AM - 11:00 AM,,8:00 AM - 11:00 AM,8:00 AM - 11:00 AM,
Southport Christian Center,"National City, CA 91950",,CA,91950,619-474-2834,Walk-up,weekly,,,false,false,false,false,true,false,false,,,,,weekly,,,,,,,10:00 AM - 11:00 AM,,
Lakeside Mobile Pantry,"Lakeside, CA 92040",,CA,92040,,Drive-through,First Tuesday of the month from 12:30 - 1:30 p.m.,,,false,true,false,false,false,false,false,,1st,,,,,,,12:30 PM - 1:30 PM,,,,,
Lemon Crest Elementary School Pantry,"Lakeside, CA 92040",,CA,92040,,Walk-up,2nd and 4th Wednesdays of the month from 11:30 a.m. - 1:30 p.m.,,Special Dates Closed on 3/11,false,false,true,false,false,false,false,,,"2nd, 4th",,,,,,,11:30 AM - 1:30 PM,,,,
Operation Promise Community Services,,,,,619-902-1206,Walk-up,weekly,"Intake form required. Call to make an appointment. 5 W. 18th St. National City, CA 91950, US",,true,true,true,true,true,false,false,weekly,weekly,weekly,weekly,weekly,,,9:00 AM - 2:45 PM,9:00 AM - 2:45 PM,9:00 AM - 2:45 PM,9:00 AM - 2:45 PM,9:00 AM - 2:45 PM,,
Partnership for a Better San Diego,"San Diego, CA 92108",,CA,92108,,Walk-up,weekly,,,true,false,false,true,false,false,false,weekly,,,weekly,,,,12:00 PM - 3:00 PM,,,8:00 AM - 11:00 AM,,,
St. Rose of Lima,"Chula Vista, CA 91910",,CA,91910,619-427-7637,Walk-up,weekly,,,false,false,true,false,false,false,false,,,weekly,,,,,,,10:00 AM - 11:00 AM,,,,
South Bay Food Pantry,"Chula Vista, CA 91910",,CA,91910,619-298-9978,Walk-up,weekly,,,false,false,false,false,false,true,false,,,,,,weekly,,,,,,,11:00 AM - 12:30 PM,
Templo Evangelico Maranatha,"Chula Vista, CA 91910",,CA,91910,619-213-9370,Walk-up,weekly,"Call first, by appointment only Call before 6:00 p.m. on the Tuesday prior",,false,false,true,false,false,false,false,,,weekly,,,,,,,10:30 AM - 11:30 AM,,,,
Lakeside Christian Helps Center,"Lakeside, CA 92040",,CA,92040,619-933-1309,Walk-up,weekly,,,true,true,true,true,false,false,false,weekly,weekly,weekly,weekly,,,,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,,,
Logan Heights Community Development Corporation,"San Diego, CA 92102",,CA,92102,619-858-0563,"Walk-up, Drive-through",3rd Friday of the month from 10:00 a.m. - 12:00 p.m.,,,false,false,false,false,true,false,false,,,,,3rd,,,,,,,10:00 AM - 12:00 PM,,
Salvation Army Chula Vista,"Chula Vista, CA 91910",,CA,91910,619-422-7027,Walk-up,weekly,New guests are asked to bring a photo ID for everyone in the household and proof of residence,,false,false,true,false,true,false,false,,,weekly,,weekly,,,,,9:00 AM - 10:30 AM,,9:00 AM - 10:30 AM,,
31st. St. SDA Church,"San Diego, CA 92113",,CA,92113,,"Walk-up, Drive-through",2nd and 4th Wednesday of the month from 12:00 - 2:00 p.m.,,,false,false,true,false,false,false,false,,,"2nd, 4th",,,,,,,12:00 PM - 2:00 PM,,,,
STAR/PAL Memorial Park,"San Diego, CA 92113",,CA,92113,619-484-7557,Walk-up,3rd Thursday of the month from 2:00 - 4:00 p.m. or until supplies last,,,false,false,false,true,false,false,false,,,,3rd,,,,,,,2:00 PM - 4:00 PM,,,
Feaster Charter School Pantry,"Chula Vista, CA 91910",,CA,91910,619-422-8397,Walk-up,3rd Wednesday of the month from 10:00 - 11:00 a.m.,,,false,false,true,false,false,false,false,,,3rd,,,,,,,10:00 AM - 11:00 AM,,,,
Lindo Park Elementary School Pantry,"Lakeside, CA 92040",,CA,92040,,Walk-up,1st and 3rd Wednesday of the month from 3:00 - 5:00 p.m.,,,false,false,true,false,false,false,false,,,"1st, 3rd",,,,,,,3:00 PM - 5:00 PM,,,,
Stepping Higher,"San Diego, CA 92102",,CA,92102,,Walk-up,weekly,,,false,true,true,true,false,false,false,,weekly,weekly,weekly,,,,,10:00 AM - 1:00 PM,10:00 AM - 1:00 PM,10:00 AM - 1:00 PM,,,
Masjidul Taqwa,"San Diego, CA 92102",,CA,92102,619-239-6738,Walk-up,2nd and 4th Saturday of the month from 10:00 a.m. - 12:00 p.m.,,,false,false,false,false,false,true,false,,,,,,"2nd, 4th",,,,,,,10:00 AM - 12:00 PM,
Mission Village Christian,"San Diego, CA 92123",,CA,92123,619-278-2647,"Walk-up, Drive-through",weekly,Residents of 92123 zip code only,,false,false,true,false,false,false,false,,,weekly,,,,,,,10:00 AM - 1:00 PM,,,,
New Season's Church,2300 Bancroft Drive,Spring Valley,CA,91977,,walk-up & drive through,2nd Wednesday of each month 9:00 AM - 11:00 AM,Seniors 60+ only,30 lb senior food box; rescheduled Nov 16; cart & reusable bags recommended,false,false,true,false,false,false,false,,,2nd,,,,,,9:00 AM - 11:00 AM,,,,,
New Season's Church,2300 Bancroft Drive,Spring Valley,CA,91977,,drive through,4th Tuesday of the month from 9:00 AM until food is gone,All are welcome,Produce distribution; Food Bank ID cards available,false,true,false,false,false,false,false,,4th,,,,,,,9:00 AM - until food is gone,,,,,
New Life Baptist Church,9255 Lamar Street,Spring Valley,CA,91977,,walk-up & drive through,3rd Tuesday of the month 12:30 PM - 3:00 PM,EFAP income guidelines apply,Dry/frozen items; menu varies monthly,false,true,false,false,false,false,false,,3rd,,,,,,,12:30 PM - 3:00 PM,,,,,
MAAC Project at San Martin de Porres Apartments,9140 Akard Street,Spring Valley,CA,91977,,walk-up,3rd Tuesday of the month 10:00 AM - 1:00 PM,EFAP income guidelines apply,Walk-up only; cart & reusable bags required,false,true,false,false,false,false,false,,3rd,,,,,,,10:00 AM - 1:00 PM,,,,,
Heaven's Windows,8848 Troy Street,Spring Valley,CA,91977,,walk-up,Tuesday–Friday 9:00 AM - 12:00 PM,EFAP income guidelines apply,Closed on multiple holidays; Food Bank ID cards available,false,true,true,true,true,false,false,,Weekly,Weekly,Weekly,Weekly,,,9:00 AM - 12:00 PM,9:00 AM - 12:00 PM,9:00 AM - 12:00 PM,9:00 AM - 12:00 PM,,,
Samoa Independent Full Gospel,2055 Skyline Drive,Lemon Grove,CA,91945,,walk-up,Last Friday of the month from 9:00 AM until food is gone,All are welcome,Produce distribution; Food Bank ID cards available; reschedules Nov 20 & Dec 18,false,false,false,true,false,false,false,,,,Last,,,,9:00 AM - until food is gone,,,,,,
Faith Chapel,9400 Campo Road,Spring Valley,CA,91977,,drive through,3rd Monday of the month from 10:00 AM until food is gone,All are welcome,Produce distribution; Food Bank ID cards available,true,false,false,false,false,false,false,3rd,,,,,,,10:00 AM - until food is gone,,,,,,
St John's Plaza,8150 Broadway,Lemon Grove,CA,91945,,walk-up,2nd Thursday of each month 1:30 PM - 3:00 PM,Seniors 60+ only,Residents recommended; cart & reusable bags required,false,false,true,false,false,false,false,,,2nd,,,,,1:30 PM - 3:00 PM,,,,,,
North Park Apostolic,2515 Lemon Grove Avenue,Lemon Grove,CA,91945,,drive through,4th Thursday from 12:00 PM until food is gone,All are welcome,Produce distribution; Food Bank ID cards available,false,false,true,false,false,false,false,,,4th,,,,,12:00 PM - until food is gone,,,,,,
Ministerio Tiempo Nuevo - Lemon Grove,8179 Broadway Boulevard,Lemon Grove,CA,91945,,not mentioned,Monday–Thursday 7:00 AM - 9:30 AM,EFAP income guidelines apply,Multiple holiday closures,true,true,true,true,false,false,true,Weekly,Weekly,Weekly,Weekly,,,7:00 AM - 9:30 AM,7:00 AM - 9:30 AM,7:00 AM - 9:30 AM,7:00 AM - 9:30 AM,,,,
Christian Church of Lemon Grove,6970 San Miguel Avenue,Lemon Grove,CA,91945,,drive through,4th Tuesday of the month 3:00 PM - 5:00 PM,EFAP income guidelines apply,,false,true,false,false,false,false,false,,4th,,,,,,,3:00 PM - 5:00 PM,,,,,
La Mesa Springs Apartments,8070 Orange Avenue,La Mesa,CA,91941,,walk-up,2nd Wednesday of each month 1:30 PM - 2:30 PM,Seniors 60+ only,30 lb senior food box; rescheduled Nov 16,false,false,true,false,false,false,false,,,2nd,,,,,,1:30 PM - 2:30 PM,,,,,
Journey Community Church,8363 Center Drive Suite 6C,La Mesa,CA,91942,,drive through,2nd Friday of the month from 9:00 AM until food is gone,All are welcome,Produce distribution; Food Bank ID cards available,false,false,false,true,false,false,true,,,,2nd,,,9:00 AM - until food is gone,,,,,,,
Bayview Baptist Church,6134 Pastor Timothy J Winters Street,San Diego,CA,92114,,walk-up,4th Wednesday of each month 9:00 AM - 10:30 AM,Seniors 60+ only,,false,false,true,false,false,false,false,,,4th,,,,,,9:00 AM - 10:30 AM,,,,,
Encanto Southern Baptist Church,6020 Akins Ave,San Diego,CA,92114,,walk-up,1st Thursday of the month 11:00 AM - 12:30 PM,EFAP income guidelines apply,Rescheduled Jan 8; Food Bank ID cards available,false,false,true,false,false,false,false,,,1st,,,,,11:00 AM - 12:30 PM,,,,,,
St Stephen's Church of God in Christ,5825 Imperial Avenue,San Diego,CA,92114,,walk-up & drive through,1st Tuesday of each month 1:00 PM - 3:00 PM,Seniors 60+ only,Walk-up only for those without vehicle; cart & reusable bags required,false,true,false,false,false,false,false,,1st,,,,,,,1:00 PM - 3:00 PM,,,,,
St Stephen's Church of God in Christ,5825 Imperial Avenue,San Diego,CA,92114,,walk-up & drive through,3rd Monday of the month from 9:00 AM until food is gone,All are welcome,Produce distribution; Food Bank ID cards available,true,false,false,false,false,false,false,3rd,,,,,,,9:00 AM - until food is gone,,,,,,
Church of Christ 61st St,6070 Division Street,San Diego,CA,92114,,drive through,3rd Saturday of the month 9:00 AM - 10:00 AM,EFAP income guidelines apply,Additional pop-up distributions noted in description,false,false,false,false,false,true,false,,,,,,3rd,,9:00 AM - 10:00 AM,,,,,,
Calvary Evangelical Lutheran Church,3060 54th Street,San Diego,CA,92105,,walk-up,Monday & Wednesday 11:00 AM - 2:00 PM,EFAP income guidelines apply,Multiple holiday closures; Food Bank ID cards available,true,false,true,false,false,false,false,Weekly,,Weekly,,,,,11:00 AM - 2:00 PM,,11:00 AM - 2:00 PM,,,,
Aguilas del Poderoso Dios,5901 Rancho Hills Drive,San Diego,CA,92139,,walk-up & drive through,1st & 3rd Thursday 10:00 AM until food runs out,All are welcome,Produce distribution; multiple reschedules/cancellations listed,false,false,true,false,false,false,false,,,1st & 3rd,,,,,10:00 AM - until food runs out,,,,,,
New Hope Seventh Day Adventist Church,2420 52nd Street,San Diego,CA,92105,,not mentioned,2nd Thursday of the month 9:00 AM - 11:00 AM,EFAP income guidelines apply,,false,false,true,false,false,false,false,,,2nd,,,,,9:00 AM - 11:00 AM,,,,,,
Colina Del Sol Park Recreation Center - South Parking Lot,5319 Orange Avenue,San Diego,CA,92115,,walk-up & drive through,4th Wednesday of each month 1:00 PM - 3:00 PM,Seniors 60+ only,Drive-thru entrance restrictions; rescheduled Dec 2,false,false,true,false,false,false,false,,,4th,,,,,,1:00 PM - 3:00 PM,,,,,
Somali Bantu Association of America,4979 University Avenue Suite A,San Diego,CA,92105,,walk-up,2nd Wednesday of the month 11:00 AM - 5:00 PM,EFAP income guidelines apply,Rescheduled to Nov 4,false,false,true,false,false,false,false,,,2nd,,,,,,11:00 AM - 5:00 PM,,,,,
Food Pantry at Chollas View Church,904 47th Street,San Diego,CA,92102,,drive through,Saturdays 10:00 AM - 12:00 PM,EFAP income guidelines apply,Diapers and period supplies available,false,false,false,false,false,true,false,,,,,,Weekly,,10:00 AM - 12:00 PM,,,,,,
Salvation Army - El Cajon,1025 East Main Street,El Cajon,CA,92021,,not mentioned,3rd Wednesday of the month 9:00 AM - 12:00 PM,EFAP income guidelines apply,Line numbers issued at 9:00 AM; diapers & period supplies,false,false,true,false,false,false,false,,,3rd,,,,,,9:00 AM - 12:00 PM,,,,,
Las Palmas Park,Intersection of E 20th St & Newell St,National City,CA,91950,,walk-up & drive through,1st Friday of the month 9:00 AM - 11:00 AM,Seniors 60+ only,Entrance directions provided; rescheduled July 6,false,false,false,true,false,false,true,,,,1st,,,9:00 AM - 11:00 AM,,,,,,,
Meridian Baptist Church,660 S 3rd Street,El Cajon,CA,92019,,walk-up & drive through,2nd Friday of each month 1:00 PM - 3:00 PM,Seniors 60+ only,South gate entry; gate opens at 1 PM,false,false,false,true,false,false,true,,,,2nd,,,1:00 PM - 3:00 PM,,,,,,,
Us 4 Warriors,900 Paseo del Rey,Chula Vista,CA,91910,,walk-up & drive through,4th Tuesday of the month 12:00 PM - 1:00 PM,All are welcome,Produce distribution; Food Bank ID cards available,false,true,false,false,false,false,false,,4th,,,,,,,12:00 PM - 1:00 PM,,,,,
El Cajon New Season's Church,990 Naranca Avenue,El Cajon,CA,92021,,walk-up & drive through,2nd Thursday of each month 9:30 AM - 12:00 PM,Seniors 60+ only,,false,false,true,false,false,false,false,,,2nd,,,,,9:30 AM - 12:00 PM,,,,,,
ICNA Relief USA,833 Broadway,El Cajon,CA,92021,,not mentioned,1st Thursday of the month 9:00 AM - 11:00 AM,EFAP income guidelines apply,Rescheduled Jan 8,false,false,true,false,false,false,false,,,1st,,,,,9:00 AM - 11:00 AM,,,,,,
Mountain View Community Center,641 S Boundary Street,San Diego,CA,92113,,walk-up & drive-through,9:00 AM,Seniors 60+ only,Senior Food Program box,true,false,false,false,false,false,false,1st,,,,,,,9:00 AM - 11:00 AM,,,,,,
Iglesia Casa de Alabanza,4250 El Cajon Boulevard,San Diego,CA,92105,,walk-up,3:30 PM,All are welcome,Produce distribution,true,false,false,false,false,false,false,Weekly,,,,,,,3:30 PM - 6:00 PM,,,,,,
Mid-City Church of the Nazarene,4101 University Avenue,San Diego,CA,92105,,walk-up,1:30 PM,Seniors 60+ only,,false,true,true,false,false,false,false,,,3rd,,,,,1:30 PM - 3:00 PM,,,,,,
Mid-City Church of the Nazarene,4101 University Avenue,San Diego,CA,92105,,walk-up,9:00 AM,EFAP income guidelines apply,Rescheduled July 11 & Sept 12,false,false,false,false,false,true,false,,,,,,1st,,,,,9:00 AM - 11:00 AM,,,
